ID,OrgKey,MissionRunId,PoiId,Timestamp,Latitude,Longitude,ReviewStatus,DeletedTimestamp,Heading,RobotKey,ReviewedTimestamp,ReviewedUser,ExpectedImages,ReviewOpenTimestamp,ReviewPriority
3b2eb9d03a414eeda51f569976db2d14,TEST,uLhtqXoA9PU-MrRuGixAu,continuous,"5 March, 2026, 12:55",46.53172200° N,6.60058000° E,OPEN,,312,coco-59,,,"[""right""]","5 March, 2026, 12:55",1
69e6153247c94a65a7d2681646e03692,TEST,uLhtqXoA9PU-MrRuGixAu,continuous,"5 March, 2026, 12:55",46.53172500° N,6.60049000° E,OPEN,,124,coco-59,,,"[""back""]","5 March, 2026, 12:55",1
63c9fedb620648a9ac8c057dd7bc4202,TEST,uLhtqXoA9PU-MrRuGixAu,continuous,"5 March, 2026, 12:55",46.53179400° N,6.60043700° E,OPEN,,345,coco-59,,,"[""front""]","5 March, 2026, 12:55",1
1e8aacd99051463a85d8a30c999bd7e6,TEST,uLhtqXoA9PU-MrRuGixAu,continuous,"5 March, 2026, 12:55",46.53184900° N,6.60043000° E,OPEN,,69,coco-59,,,"[""right""]","5 March, 2026, 12:55",1
c961d5ffd67c47979a42e9fb1d4928d2,TEST,uLhtqXoA9PU-MrRuGixAu,continuous,"5 March, 2026, 12:56",46.53197000° N,6.60036000° E,OPEN,,248,coco-59,,,"[""front""]","5 March, 2026, 12:56",1
9bebf7c8b27a4d4580b1014731bd70a1,TEST,uLhtqXoA9PU-MrRuGixAu,continuous,"5 March, 2026, 12:56",46.53197100° N,6.60035900° E,OPEN,,3,coco-59,,,"[""right""]","5 March, 2026, 12:56",1
8a7ec317e8ac4d75a37ec0728d50fcd8,TEST,uLhtqXoA9PU-MrRuGixAu,,"5 March, 2026, 12:56",46.53197100° N,6.60037600° E,OPEN,,269,coco-59,,,"[""front"" ""thermal""]","5 March, 2026, 12:56",2
bf22a3ce19304e78818b6df0505712a0,TEST,uLhtqXoA9PU-MrRuGixAu,,"5 March, 2026, 12:56",46.53197100° N,6.60037600° E,OPEN,,89,coco-59,,,"[""back""]","5 March, 2026, 12:56",2
7c061a5e001a48f49271328a4da319b1,TEST,uLhtqXoA9PU-MrRuGixAu,,"5 March, 2026, 12:56",46.53197100° N,6.60037600° E,OPEN,,359,coco-59,,,"[""right""]","5 March, 2026, 12:56",2
799863bad6d6415bb97bf276268e64d2,TEST,uLhtqXoA9PU-MrRuGixAu,,"5 March, 2026, 12:56",46.53197100° N,6.60037600° E,OPEN,,179,coco-59,,,"[""left""]","5 March, 2026, 12:56",2
81e45a168da443ba9c851bab1047f02f,TEST,uLhtqXoA9PU-MrRuGixAu,continuous,"5 March, 2026, 12:56",46.53197100° N,6.60037600° E,OPEN,,89,coco-59,,,"[""back""]","5 March, 2026, 12:56",1
7f3527b7bab441c699543b950419c408,TEST,uLhtqXoA9PU-MrRuGixAu,,"5 March, 2026, 12:56",46.53197000° N,6.60034500° E,OPEN,,268,coco-59,,,"[""front"" ""thermal""]","5 March, 2026, 12:56",2
c7c3b0a572064db9905ded04c1b29653,TEST,uLhtqXoA9PU-MrRuGixAu,,"5 March, 2026, 12:56",46.53197000° N,6.60034500° E,OPEN,,88,coco-59,,,"[""back""]","5 March, 2026, 12:56",2
d62db248cfc8439ca3df7b99ca12b7ee,TEST,uLhtqXoA9PU-MrRuGixAu,,"5 March, 2026, 12:56",46.53197000° N,6.60034500° E,OPEN,,358,coco-59,,,"[""right""]","5 March, 2026, 12:56",2
